cityCode;cityName;cityNameNoAccents
4124202;Santo Antônio do Caiuá;Santo Antonio do Caiua
4124301;Santo Antônio do Paraíso;Santo Antonio do Paraiso
4124400;Santo Antônio do Sudoeste;Santo Antonio do Sudoeste
4124509;Santo Inácio;Santo Inacio
4124608;São Carlos do Ivaí;Sao Carlos do Ivai
4124707;São Jerônimo da Serra;Sao Jeronimo da Serra
4124806;São João;Sao Joao
4124905;São João do Caiuá;Sao Joao do Caiua
4125001;São João do Ivaí;Sao Joao do Ivai
4125100;São João do Triunfo;Sao Joao do Triunfo
4125308;São Jorge do Ivaí;Sao Jorge do Ivai
4125357;São Jorge do Patrocínio;Sao Jorge do Patrocinio
4125209;São Jorge d'Oeste;Sao Jorge d'Oeste
4125407;São José da Boa Vista;Sao Jose da Boa Vista
4125456;São José das Palmeiras;Sao Jose das Palmeiras
4125506;São José dos Pinhais;Sao Jose dos Pinhais
4125555;São Manoel do Paraná;Sao Manoel do Parana
4125605;São Mateus do Sul;Sao Mateus do Sul
4125704;São Miguel do Iguaçu;Sao Miguel do Iguacu
4125753;São Pedro do Iguaçu;Sao Pedro do Iguacu
4125803;São Pedro do Ivaí;Sao Pedro do Ivai
4125902;São Pedro do Paraná;Sao Pedro do Parana
4126009;São Sebastião da Amoreira;Sao Sebastiao da Amoreira
4126108;São Tomé;Sao Tome
4126207;Sapopema;Sapopema
4126256;Sarandi;Sarandi
4126272;Saudade do Iguaçu;Saudade do Iguacu
4126306;Sengés;Senges
4126355;Serranópolis do Iguaçu;Serranopolis do Iguacu
4126405;Sertaneja;Sertaneja
4126504;Sertanópolis;Sertanopolis
4126603;Siqueira Campos;Siqueira Campos
4126652;Sulina;Sulina
4126678;Tamarana;Tamarana
4126702;Tamboara;Tamboara
4126801;Tapejara;Tapejara
4126900;Tapira;Tapira
4127007;Teixeira Soares;Teixeira Soares
4127106;Telêmaco Borba;Telemaco Borba
4127205;Terra Boa;Terra Boa
4127304;Terra Rica;Terra Rica
4127403;Terra Roxa;Terra Roxa
4127502;Tibagi;Tibagi
4127601;Tijucas do Sul;Tijucas do Sul
4127700;Toledo;Toledo
4127809;Tomazina;Tomazina
4127858;Três Barras do Paraná;Tres Barras do Parana
4127882;Tunas do Paraná;Tunas do Parana
4127908;Tuneiras do Oeste;Tuneiras do Oeste
4127957;Tupãssi;Tupassi
4127965;Turvo;Turvo
4128005;Ubiratã;Ubirata
4128104;Umuarama;Umuarama
4128203;União da Vitória;Uniao da Vitoria
4128302;Uniflor;Uniflor
4128401;Uraí;Urai
4128534;Ventania;Ventania
4128559;Vera Cruz do Oeste;Vera Cruz do Oeste
4128609;Verê;Vere
4128658;Virmond;Virmond
4128708;Vitorino;Vitorino
4128500;Wenceslau Braz;Wenceslau Braz
4128807;Xambrê;Xambre
4200051;Abdon Batista;Abdon Batista
4200101;Abelardo Luz;Abelardo Luz
4200200;Agrolândia;Agrolandia
4200309;Agronômica;Agronomica
4200408;Água Doce;Agua Doce
4200507;Águas de Chapecó;Aguas de Chapeco
4200556;Águas Frias;Aguas Frias
4200606;Águas Mornas;Aguas Mornas
4200705;Alfredo Wagner;Alfredo Wagner
4200754;Alto Bela Vista;Alto Bela Vista
4200804;Anchieta;Anchieta
4200903;Angelina;Angelina
4201000;Anita Garibaldi;Anita Garibaldi
4201109;Anitápolis;Anitapolis
4201208;Antônio Carlos;Antonio Carlos
4201257;Apiúna;Apiuna
4201273;Arabutã;Arabuta
4201307;Araquari;Araquari
4201406;Araranguá;Ararangua
4201505;Armazém;Armazem
4201604;Arroio Trinta;Arroio Trinta
4201653;Arvoredo;Arvoredo
4201703;Ascurra;Ascurra
4201802;Atalanta;Atalanta
4201901;Aurora;Aurora
4201950;Balneário Arroio do Silva;Balneario Arroio do Silva
4202057;Balneário Barra do Sul;Balneario Barra do Sul
4202008;Balneário Camboriú;Balneario Camboriu
4202073;Balneário Gaivota;Balneario Gaivota
4212809;Balneário Piçarras;Balneario Picarras
4220000;Balneário Rincão;Balneario Rincao
4202081;Bandeirante;Bandeirante
4202099;Barra Bonita;Barra Bonita
4202107;Barra Velha;Barra Velha
4202131;Bela Vista do Toldo;Bela Vista do Toldo
4202156;Belmonte;Belmonte
4202206;Benedito Novo;Benedito Novo
4202305;Biguaçu;Biguacu
4202404;Blumenau;Blumenau
4202438;Bocaina do Sul;Bocaina do Sul
4202503;Bom Jardim da Serra;Bom Jardim da Serra
4202537;Bom Jesus;Bom Jesus
4202578;Bom Jesus do Oeste;Bom Jesus do Oeste
4202602;Bom Retiro;Bom Retiro
4202453;Bombinhas;Bombinhas
4202701;Botuverá;Botuvera
4202800;Braço do Norte;Braco do Norte
4202859;Braço do Trombudo;Braco do Trombudo
4202875;Brunópolis;Brunopolis
4202909;Brusque;Brusque
4203006;Caçador;Cacador
4203105;Caibi;Caibi
4203154;Calmon;Calmon
4203204;Camboriú;Camboriu
4203303;Campo Alegre;Campo Alegre
4203402;Campo Belo do Sul;Campo Belo do Sul
4203501;Campo Erê;Campo Ere
4203600;Campos Novos;Campos Novos
4203709;Canelinha;Canelinha
4203808;Canoinhas;Canoinhas
4203253;Capão Alto;Capao Alto
4203907;Capinzal;Capinzal
4203956;Capivari de Baixo;Capivari de Baixo
4204004;Catanduvas;Catanduvas
4204103;Caxambu do Sul;Caxambu do Sul
4204152;Celso Ramos;Celso Ramos
4204178;Cerro Negro;Cerro Negro
4204194;Chapadão do Lageado;Chapadao do Lageado
4204202;Chapecó;Chapeco
4204251;Cocal do Sul;Cocal do Sul
4204301;Concórdia;Concordia
4204350;Cordilheira Alta;Cordilheira Alta
4204400;Coronel Freitas;Coronel Freitas
4204459;Coronel Martins;Coronel Martins
4204558;Correia Pinto;Correia Pinto
4204509;Corupá;Corupa
4204608;Criciúma;Criciuma
4204707;Cunha Porã;Cunha Pora
4204756;Cunhataí;Cunhatai
4204806;Curitibanos;Curitibanos
4204905;Descanso;Descanso
4205001;Dionísio Cerqueira;Dionisio Cerqueira
4205100;Dona Emma;Dona Emma
4205159;Doutor Pedrinho;Doutor Pedrinho
4205175;Entre Rios;Entre Rios
4205191;Ermo;Ermo
4205209;Erval Velho;Erval Velho
4205308;Faxinal dos Guedes;Faxinal dos Guedes
4205357;Flor do Sertão;Flor do Sertao
4205407;Florianópolis;Florianopolis
4205431;Formosa do Sul;Formosa do Sul
4205456;Forquilhinha;Forquilhinha
4205506;Fraiburgo;Fraiburgo
4205555;Frei Rogério;Frei Rogerio
4205605;Galvão;Galvao
4205704;Garopaba;Garopaba
4205803;Garuva;Garuva
4205902;Gaspar;Gaspar
4206009;Governador Celso Ramos;Governador Celso Ramos
4206108;Grão Pará;Grao Para
4206207;Gravatal;Gravatal
4206306;Guabiruba;Guabiruba
4206405;Guaraciaba;Guaraciaba
4206504;Guaramirim;Guaramirim
4206603;Guarujá do Sul;Guaruja do Sul
4206652;Guatambú;Guatambu
4206702;Herval d'Oeste;Herval d'Oeste
4206751;Ibiam;Ibiam
4206801;Ibicaré;Ibicare
4206900;Ibirama;Ibirama
4207007;Içara;Icara
4207106;Ilhota;Ilhota
4207205;Imaruí;Imarui
4207304;Imbituba;Imbituba
4207403;Imbuia;Imbuia
4207502;Indaial;Indaial
4207577;Iomerê;Iomere
4207601;Ipira;Ipira
4207650;Iporã do Oeste;Ipora do Oeste
4207684;Ipuaçu;Ipuacu
4207700;Ipumirim;Ipumirim
4207759;Iraceminha;Iraceminha
4207809;Irani;Irani
4207858;Irati;Irati
4207908;Irineópolis;Irineopolis
4208005;Itá;Ita
4208104;Itaiópolis;Itaiopolis
4208203;Itajaí;Itajai
4208302;Itapema;Itapema
4208401;Itapiranga;Itapiranga
4208450;Itapoá;Itapoa
4208500;Ituporanga;Ituporanga
4208609;Jaborá;Jabora
4208708;Jacinto Machado;Jacinto Machado
4208807;Jaguaruna;Jaguaruna
4208906;Jaraguá do Sul;Jaragua do Sul
4208955;Jardinópolis;Jardinopolis
4209003;Joaçaba;Joacaba
4209102;Joinville;Joinville
4209151;José Boiteux;Jose Boiteux
4209177;Jupiá;Jupia
4209201;Lacerdópolis;Lacerdopolis
4209300;Lages;Lages
4209409;Laguna;Laguna
4209458;Lajeado Grande;Lajeado Grande
4209508;Laurentino;Laurentino
4209607;Lauro Müller;Lauro Muller
4209706;Lebon Régis;Lebon Regis
4209805;Leoberto Leal;Leoberto Leal
4209854;Lindóia do Sul;Lindoia do Sul
4209904;Lontras;Lontras
4210001;Luiz Alves;Luiz Alves
4210035;Luzerna;Luzerna
4210050;Macieira;Macieira
4210100;Mafra;Mafra
4210209;Major Gercino;Major Gercino
4210308;Major Vieira;Major Vieira
4210407;Maracajá;Maracaja
4210506;Maravilha;Maravilha
4210555;Marema;Marema
4210605;Massaranduba;Massaranduba
4210704;Matos Costa;Matos Costa
4210803;Meleiro;Meleiro
4210852;Mirim Doce;Mirim Doce
4210902;Modelo;Modelo
4211009;Mondaí;Mondai
4211058;Monte Carlo;Monte Carlo
4211108;Monte Castelo;Monte Castelo
4211207;Morro da Fumaça;Morro da Fumaca
4211256;Morro Grande;Morro Grande
4211306;Navegantes;Navegantes
4211405;Nova Erechim;Nova Erechim
4211454;Nova Itaberaba;Nova Itaberaba
4211504;Nova Trento;Nova Trento
4211603;Nova Veneza;Nova Veneza
4211652;Novo Horizonte;Novo Horizonte
4211702;Orleans;Orleans
4211751;Otacílio Costa;Otacilio Costa
4211801;Ouro;Ouro
4211850;Ouro Verde;Ouro Verde
4211876;Paial;Paial
4211892;Painel;Painel
4211900;Palhoça;Palhoca
4212007;Palma Sola;Palma Sola
4212056;Palmeira;Palmeira
4212106;Palmitos;Palmitos
4212205;Papanduva;Papanduva
